Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
druid,master,27d7c30c38ce3cc2c585f9decc14068a56fd019b,29.0.1,51c8f65f05f1ef6fad46ba1bc1e2d905cb456595,2024-03-12 05:31:52+00:00,TYPE-V
druid,master,9c41827dba2c16c377ebbdd34b4631e49e09f669,29.0.1,49443270de6dabaea8dc5063e45d1a7cfbcb0496,2024-03-19 04:10:21+00:00,TYPE-II
druid,master,85ee775390c54f96900d5857241e1b4ad7822318,29.0.1,44d0d3245c063e3c9d7a3805632fa1295143b115,2024-03-19 10:01:49+00:00,TYPE-II
druid,master,a151bcfd12e86b3ace7a9776cb7bc1e87ea2a017,29.0.1,e1dc60f21d7d9ec502c1f256ac27b5e6abd92792,2024-03-19 12:16:42+00:00,TYPE-II
druid,master,256160aba6bf86fec38ae7fa9ee6c8eba22bbe46,29.0.1,b1a8243cf390945d575d7a3acc0fb217af91c729,2024-03-19 14:11:54+00:00,TYPE-V
druid,master,1d7595f3f78dc4b506458f82b6b382b29d74cf2a,30.0.0,9592d5414ab777bbdb4206f6e344f7895cc5285f,2024-05-03 04:32:29+00:00,TYPE-II
druid,master,c61c3785a0c473ed4c83af83f0db6a4ff638cf6d,30.0.0,6b29f7d1952345d873fa96edfd2fcfa8777abb5e,2024-05-06 05:15:19+00:00,TYPE-V
druid,master,e695e52d3fa080536a4ad3dfff0ff3ce8a95057a,30.0.0,358b06e292c572a3d1e1db74a4218018f464f34a,2024-05-07 05:45:09+00:00,TYPE-II
druid,master,26d63e7b65b164746a634517fe4fa16263fbd8c8,30.0.0,21c6e7b07024ac8b5833ab4e83398720fa5bc395,2024-05-07 05:45:28+00:00,TYPE-II
druid,master,269e035e76850e18b125dd8cce77ca90c7f93730,30.0.0,cb1bc70d3f1f204c2f1711692477ddc2829885ee,2024-05-09 12:21:11+00:00,TYPE-V
druid,master,4bfc186153babed311288128af39ef252912a735,30.0.0,463fb3e647095131ca0f0368b3a13609581c6a14,2024-05-13 16:46:25+00:00,TYPE-II
druid,master,0fb09445a596f46bbc36b38c34a3917bf5e252c3,30.0.0,9fb43e0cf73e2ab5b39a13e8ad4d99d5a8de397a,2024-05-16 07:22:13+00:00,TYPE-II
