original_commit,original_branch,Backport Commit,backport_branch
55ae1d0541c3482cf9fa2cadb156b1da6852deb4,master,0c61209e8058a23dc63cefa4ea18f5b31b1379fe,v1.77.x
7cb8b68c3aa8dea787bf0ac71e11aadf0f4eed85,master,155308db2db2abcf612cc13c8360d5277753008f,v1.77.x
55ae1d0541c3482cf9fa2cadb156b1da6852deb4,master,bb07f79d46cea304c3699fa5e6bb48a9dcc00f7e,v1.76.x
b33c17fcea482402d0cd2c3541ac5b1cce408e50,master,f89d1d8fd449da2fe8e619fcf92003992eeadaa2,v1.76.x
6b83959ff47211e1f8387f2b51060d3d2c13097a,master,70b7249da82ccb069e1657e635ef54d88088ac79,v1.76.x
1ef5ee25905b540a64424d36ea735ac431e117fa,master,bab8c7a71d64495602759664dc4b59e03baee878,v1.76.x
51611bad102657dddbc9d897a40a78af83871a99,master,246c2b1eaf963810c75dffb90464265102dafb69,v1.77.x
76a1f2a8edff4615f62270baebbef008505a3a67,master,795ce0280a6ca9c21eec7bb0c284914fe2dfbecd,v1.77.x
d89628c3c5035d4b8e4221c702492a31fe9303c1,master,498f717fcb41085c2ba0228a0e6c2d3d3c727877,v1.77.x
1ef5ee25905b540a64424d36ea735ac431e117fa,master,5e8af564ec1a5eeabc00578267f7101c57144951,v1.77.x
881996a0c6657c6981d850bd66b8527048b7eaca,master,21696cd3dffc3b85b5fa3e9ac4464fa24d78de4f,v1.77.x
55314c3ca5dfc7bba5953f1c73ec70c3f9ce0dfd,master,efef0ddae953a5b03d90d227742d80fafa0dcadf,v1.77.x
589df4e3016dcbd6169eb09662d7ce42aa787810,master,9cc31e5f83037bdc2c865d2cd88d6dcd99d52d40,v1.77.x
3fc026c29bd09c6ca87b72fd69eff843b88456a3,master,53cd1a225628530defa407590223efdab0fca060,v1.77.x
2039266ebc904866523c3151575b530481c0bed6,master,14fd8eff28d55fae4a791b256602d83a5fb9d848,v1.75.x
06707f7c38068d9e933f6d03811255f481a0abe9,master,0d3e8283a8105a7bbf1bf746d96cac1e363de2e3,v1.75.x
8fa2c2c3c1454d411b1b029f8e83debf02c9bf11,master,6fc3fd046213dbd145216d8159487bf164e7726d,v1.77.x
95d16d85c84b7bc587adaa349fa58c8fa80e1503,master,d750e9df576a63f8b0d55eefc730282dc60f99d1,v1.75.x
6462ef9a11980e168c21d90bbc7245c728fd1a7a,master,a5c2b1aa51608b1fff016a313d8ee65f92e8d23d,v1.75.x
437e03dc98d98f6a2875daf8ac40b00de9002612,master,653d076c605a9066cf6ae484921058580df2437d,v1.75.x
f30964ab82efab6c92354bea1b9b8f6a9c6dddbe,master,19c579e8a93cc0660df1523b5740eae9aa888a09,v1.75.x
a8de9f07ab831686da026ec067370a6e0c5489f1,master,a5eaa66ccc2add0c9b78096ca3196ec1c7904c1f,v1.74.x
2e96fbf1e851242f8028af2cbc16dbc96e1037ff,master,15c7573988fab5c9893c1d86f0d23f1cd4b683f8,v1.74.x
a37d3eb349e048b953633027ed011cda8b68c603,master,b04c673fdfec6191afdca06fa254b9e4da0150f6,v1.74.x
dc192f5c5e3b087fc78eb17ffdc053e203e5e3e4,master,a6a9ba772c84acc05f115ab93bb242684c071a14,v1.73.x
9a6bdc70af8ef015e24a2b963b57c9d9e6f9bf00,master,2c7630413860a1bf53c84500fca38fde8953dc07,v1.72.x
9a6bdc70af8ef015e24a2b963b57c9d9e6f9bf00,master,4b18eea21c0f739ace791dad0855a6068aae73c3,v1.73.x
9a6bdc70af8ef015e24a2b963b57c9d9e6f9bf00,master,b832c50a8fd863b2ce081a4bdea112779686b2d1,v1.71.x
9a6bdc70af8ef015e24a2b963b57c9d9e6f9bf00,master,64b5e3a45106803e7b9594687bdd52bdafe5f527,v1.68.x
9a6bdc70af8ef015e24a2b963b57c9d9e6f9bf00,master,8fb86a467877855c8695596d5e4d1e9c930f88de,v1.69.x
9a6bdc70af8ef015e24a2b963b57c9d9e6f9bf00,master,fe504a57b1a366b6fc6f239f9584893f734274ba,v1.70.x
9a6bdc70af8ef015e24a2b963b57c9d9e6f9bf00,master,1f039bde6700af9c48d7cd04c715a896478d61be,v1.67.x
ca99a8c478eff08b34c6ddd3035ef37aca9754ee,master,f6ba7c52911349bca0d4236ba833ca03ff6351ca,v1.74.x
1fc4ab0bb203a7934753d4d29d8d4689a1012390,master,1df2a330568b2131fd2fda77cf85c948dba19ae0,v1.74.x
7a08fdb7f94a43951da6245e100c3535d0ce7879,master,8bf12c67de8a0dd22aa5642f33b294934ca23bdd,v1.72.x
12197065fec471eccff8f8f83093b91f698acc47,master,7776d3712085d6cd8abd2780e5602c8b00801358,v1.71.x
84c7713b2f40a4638a8e5461a4008810615bd11a,master,a2e53f6238e509c3468b45505f28223ed0034fad,v1.72.x
9d439d4a447e16fb6240abbd223d232f2bc875cf,master,c010742cb32ec37ffef3de1252e4835e71d3c0bc,v1.72.x
9d439d4a447e16fb6240abbd223d232f2bc875cf,master,bfb55b5553a29e84d1f2ecd20699bc4e57ac3520,v1.73.x
480640dc2ff7851ec6c9a4c7d929e3e383d16563,master,165e47699fa673f2d1f65dd8fa8b067baf111d08,v1.73.x
1a2285b52786ee190e4157cf0b005aabb7316f96,master,80ea4e9e6981daadb1e175a2a60ce78fd5fab1ed,v1.71.x
b08976148634102719c620766d8cc858c6836730,master,e7722655302df4fc2a7effbb4de839c7b99e2bb5,v1.73.x
24b9f6ff0d0498a3136fd51c505e699ee1f5a940,master,122a1b434d39900324e7ebd46945ccf7ad280a84,v1.66.x
24b9f6ff0d0498a3136fd51c505e699ee1f5a940,master,c5ab4469cf9b1cdf56fca666cc0604403fc43f8c,v1.67.x
32f4cf432a5258af64822e3dadde2778f389c260,master,04aeee814b815a922b3a604d33e60d8eaa0c6935,v1.67.x
24b9f6ff0d0498a3136fd51c505e699ee1f5a940,master,c8e7c118574510459c9b537cfa04240e76a3172f,v1.68.x
24b9f6ff0d0498a3136fd51c505e699ee1f5a940,master,c5f65f7944e40b990929a5e01bfbf36b8a54351e,v1.69.x
24b9f6ff0d0498a3136fd51c505e699ee1f5a940,master,ade51e4e6c1f61b48c7c82e46ef01544d4e0ad69,v1.70.x
24b9f6ff0d0498a3136fd51c505e699ee1f5a940,master,c5fcfea0bb69940154d5ec0161f85ea7c68cfce6,v1.71.x
66075eab85d85095bd396fc747d218c62e105f73,master,9282880758a41c16b3be4a1e57b01078930bef70,v1.66.x
2b87b01651fa5d99ab1b1d9cbc4f87af5a1f5d6a,master,2fd84478a6e45bfb07215dac1f1a49733d24b2e8,v1.71.x
5ca4d852ae5a50ea8d52497996af4a6b278ccd84,master,143532304f45522c6e5fc8898bff6e5e35cbf699,v1.71.x
5ca4d852ae5a50ea8d52497996af4a6b278ccd84,master,666136b4b85529600cc0d2482a8084ce2fcba92f,v1.72.x
5ca4d852ae5a50ea8d52497996af4a6b278ccd84,master,1a895ccfb79bf08a31f128788ee9fcd518a56166,v1.70.x
a13fca2bf2cddd58d917865bc0bb24036c5eb873,master,868178651f6ae0dcef5bc0048c1e94ed1a8c13cc,v1.72.x
a13fca2bf2cddd58d917865bc0bb24036c5eb873,master,e47748a2250c231a9574fed2a50e94253f87ae79,v1.71.x
a13fca2bf2cddd58d917865bc0bb24036c5eb873,master,e7638915ae68e3bc10c69b938f87e54a9efbcbdc,v1.70.x
54d37839a39defddf59665962e05d863a490cfc9,master,a6e1c1f09c6c7ff8e54405d6782bb1ff553ffb29,v1.72.x
25199e9df9b7f3f0db664883abb103a6abbfe120,master,390bc330bc1ce48b801ed9ba005f6cc04f6e5e80,v1.72.x
fc86084df5c8c2ea3080554021aa72cea81960b4,master,44120549363c316419c21ed18fe6435b4e276720,v1.70.x
f8f613984fe1c57171977e948315449e3d013ebc,master,bccbb8bfe4c3817288cbdb285c2ddf501dfb6c07,v1.68.x
f8f613984fe1c57171977e948315449e3d013ebc,master,112dccbb6a43cd92fcc4c3f1de9396e95e1e0880,v1.69.x
a0982ca0a156f26457df087b41d00e2c6369dcbe,master,05d9628e8681e82a025ac001eab73648bac063bc,v1.69.x
a0982ca0a156f26457df087b41d00e2c6369dcbe,master,eb14478d0d3df720ef403b21bd403eed2ca0f5aa,v1.68.x
1cf1927d1a7024e353f239fe5b5d50cbb49a8bae,master,aba8a0c30620d534ed52c76fc672f567375a5310,v1.69.x
7162d2d6615eb36814e151bf8e926b68409dbed9,master,7dada7d5a9d6efd9eafc25ef992689cbe94a4377,v1.70.x
6c12c2bd2438551dc19bd941d158c065eed9e37c,master,14db9e19dd55669fcabc3ebdef114e34afa543bc,v1.68.x
e8ff6da2cf57a39a62497e9f317e6976b5bfb98c,master,32877ea94f9c9b04b6fecc60c8ea850ce971a1fc,v1.68.x
65b32e60e0545f2c8404df9e29d985c241d26066,master,e98e7445be6209ed4300724d6c2769635ceef5e4,v1.69.x
ef1fe87373b8436e518d7f74a89b2b3936484eb2,master,1dac376256eff29092fb9a634c1e106e44eca5b6,v1.68.x
32f4cf432a5258af64822e3dadde2778f389c260,master,197a15c9c9cfa7218ec29ecb335541603dff2ed2,v1.68.x
6516c7387e2cb944784115303f8a36416f53b4a1,master,0de7bfefb9f5627851d116da09126d119d8a94a2,v1.69.x
dae078c0a636fd4b71ca7d20c333dd00b0b0714a,master,2636d5dda005f5a5e26127251f4cd14e757091e6,v1.68.x
370e7ce27c815034e6b028953c0d9e734fb0390f,master,135f433bcd212fc251eb70b3ec41cd28515dc65e,v1.68.x
3e8ef8cf0ced8f910b4a0d2ce04f8771d1219bdd,master,67cab187fdff133498d01d6d350b6e158959d026,v1.67.x
721d063d554f742c4bed7b698f8cab373f5e0b1d,master,81cc82eb5e1684529a3f5afcb8e60a4319d8a27e,v1.66.x
941a1c37a3cf9078da633da38ceaa15009975ad4,master,fb4e4861f2c0ef6f8cf5987ad104096510de34aa,v1.66.x
cc1cbe987191cf1e72e25cd3fd7bef392910a0d6,master,5a5ef2a978fd28a6cf0c4f3ac4c9964cd2e61c7e,v1.66.x
ebffb0a6b2b628f584ce97f943b2739642f58270,master,ef09d94fe8d51aca13f3490f599ebbfabf3299ab,v1.66.x
506192872edf88703325d03ab95e2081b81e4381,master,d0e456046245c7f47864b09571decbb870dcbc1c,v1.63.x
71eb5fb9f0e408e8c7e213ef470a8894ee0a4e18,master,83902713c8f45222cb7949f7ddf2e835b21f1495,v1.63.x
