Project,Original Version,Original Commit,Backport Version,Backport Commit,Backport Date,Type
hadoop,trunk,ba7faf90c80476c79e6bfc7c02749dfc031337eb,branch-3.3,a222330e8483ec50cc58789ebce3df1c07250661,2024-04-10 11:11:06+00:00,TYPE-V
hadoop,trunk,a386ac1f5632949bc49a9d09195073ba5f980b5c,branch-3.3,efc53d87252af3b2455d4c38df08d8d850d1879f,2024-04-23 00:14:03+00:00,TYPE-II
hadoop,trunk,ecf665c6facf89d3b87b6e3cc684274b8155ca60,branch-3.3,75ad60ba99bdb4bd044879af20cab4f368866613,2024-04-27 12:32:28+00:00,TYPE-IV
hadoop,trunk,c9270600b7ea6089c1bb7f3c96a6c92935f3de03,branch-3.3,1025c442b99f9940bce5a9bf76ccbba2448c390e,2024-05-15 15:24:50+00:00,TYPE-V
hadoop,trunk,2fbbfe3cc93574818690373a26e1c3e0f88c560a,branch-3.3,745afa8ceb5dc88ce97d89d24c2236bd2ecb9e98,2024-06-26 16:52:07+00:00,TYPE-V
hadoop,trunk,a5806a9e7bc6d018de84e6511f10c359f110f78c,branch-3.4,414c4a2529a6725888eea2b6740ca7bbbc8a6f1d,2024-07-29 15:06:30+00:00,TYPE-II
hadoop,trunk,1655acc5e2d5fe27e01f46ea02bd5a7dea44fe12,branch-3.4,ea4137b0100a2f0b9ee7f5e2d3e691ea89f7c60d,2024-09-14 05:30:43+00:00,TYPE-V
hadoop,trunk,ea6e0f7cd58d0129897dfc7870aee188be80a904,branch-3.4.1,97abdb447aa46a436c6bc9d031827a8742fbacf2,2024-09-16 11:17:21+00:00,TYPE-II
hadoop,trunk,dc56fc385a400b648386e9b7aa8dcb899197bfc7,branch-3.4,db00daabbacddccadc88161cfbefa98be63d1103,2024-10-08 17:39:40+00:00,TYPE-II
hadoop,trunk,eec9cd299707d7f34a1bbf340f5f4a6cf479f66a,branch-3.4,af0b841c85d1104c8829a374300c1c371e9abf85,2024-10-09 12:56:26+00:00,TYPE-II
hadoop,trunk,7999db55da49e469b5abc15efeee18ac438e9173,branch-3.4,b5b5e3f9c229d5c367f759f12e08977b2c2882e1,2024-11-15 11:56:55+00:00,TYPE-II
hadoop,trunk,7543f3aadab19a7dd1dd016ddec7aa29705ac1ec,branch-3.3,203b94414fdc67d1b77006dc05402d373c4f74d1,2024-11-25 19:02:59+00:00,TYPE-V
hadoop,trunk,626455653f50b6eb408696a794d05601c450ba6e,branch-3.4,0cd6ab59390190d27eae58d349dd453b22cc858e,2024-12-25 08:36:30+00:00,TYPE-II
hadoop,trunk,d168d3ffeee15ea71786263d7eaa60dc92c4d3a0,branch-3.4,07fdc1a48fa94c8f17da49809e9d8ada12b25f0c,2025-01-21 06:14:58+00:00,TYPE-V
hadoop,trunk,2273278d0b0e9f83f9376afad36e6b2d790a69f2,branch-3.4,e76699bca2d2359504cabe3d529b4cf9954406b2,2025-02-20 11:02:13+00:00,TYPE-II
hadoop,trunk,5067082dcda5d2f835f96eb6e7f2439826584fd3,branch-3.4,382b347635bb63b3695ee046ce349d07f274056b,2025-02-20 18:37:58+00:00,TYPE-V
hadoop,trunk,b79b06b127ae4826340b19511e2be499eb1e73d1,branch-3.4,8d353d562764d68dda7d745658bf62637ed677fe,2025-04-14 04:41:11+00:00,TYPE-V
hadoop,trunk,9a743bd17f55245841db3de5d1c785282306d408,branch-3.4,c239f617a784857081b4687b205146ef9b92cf34,2025-04-21 14:32:47+00:00,TYPE-II
hadoop,trunk,b949ca64a1558cfd551ea0ff9dcc89a1e29a0355,branch-3.4,8194b823e92445c962d89c1dcbb0837ff183a237,2025-05-01 10:52:58+00:00,TYPE-II
hadoop,trunk,81e4848a7e77b5d827709b449ad187b77e5fb2db,branch-3.4,e6cf6e6d10bb2e8e4963e9e78d9c3ade3f0bf161,2025-05-19 14:26:06+00:00,TYPE-V
