commit,validation_status,validation_reason,build_after,test_after,build_before,test_before,error_type,regressions,fixes,new_passes
0c61209e8058a23dc63cefa4ea18f5b31b1379fe,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
155308db2db2abcf612cc13c8360d5277753008f,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,2
bb07f79d46cea304c3699fa5e6bb48a9dcc00f7e,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
70b7249da82ccb069e1657e635ef54d88088ac79,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
bab8c7a71d64495602759664dc4b59e03baee878,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,3
246c2b1eaf963810c75dffb90464265102dafb69,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
795ce0280a6ca9c21eec7bb0c284914fe2dfbecd,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
498f717fcb41085c2ba0228a0e6c2d3d3c727877,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,3
5e8af564ec1a5eeabc00578267f7101c57144951,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,3
21696cd3dffc3b85b5fa3e9ac4464fa24d78de4f,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
53cd1a225628530defa407590223efdab0fca060,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
14fd8eff28d55fae4a791b256602d83a5fb9d848,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
6fc3fd046213dbd145216d8159487bf164e7726d,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
a5c2b1aa51608b1fff016a313d8ee65f92e8d23d,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,2
653d076c605a9066cf6ae484921058580df2437d,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
a5eaa66ccc2add0c9b78096ca3196ec1c7904c1f,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
15c7573988fab5c9893c1d86f0d23f1cd4b683f8,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,1
b04c673fdfec6191afdca06fa254b9e4da0150f6,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
f6ba7c52911349bca0d4236ba833ca03ff6351ca,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,0
1df2a330568b2131fd2fda77cf85c948dba19ae0,VALID_BACKPORT,,Success,Success,Success,Success,,0,0,2
